candidat,date_end,total_time,time_diff
ARTHAUD NATHALIE,2022-01-16,3951.0,3951.0
ARTHAUD NATHALIE,2022-01-30,15217.0,11266.0
ARTHAUD NATHALIE,2022-02-13,24561.0,9344.0
ARTHAUD NATHALIE,2022-02-27,47026.0,22465.0
ARTHAUD NATHALIE,2022-03-07,67299.0,20273.0
DUPONT AIGNAN NICOLAS,2022-01-16,17774.0,17774.0
DUPONT AIGNAN NICOLAS,2022-01-30,48783.0,31009.0
DUPONT AIGNAN NICOLAS,2022-02-13,73010.0,24227.0
DUPONT AIGNAN NICOLAS,2022-02-27,95719.0,22709.0
DUPONT AIGNAN NICOLAS,2022-03-07,126342.0,30623.0
HIDALGO ANNE,2022-01-16,96539.0,96539.0
HIDALGO ANNE,2022-01-30,221222.0,124683.0
HIDALGO ANNE,2022-02-13,295248.0,74026.0
HIDALGO ANNE,2022-02-27,412538.0,117290.0
HIDALGO ANNE,2022-03-07,466808.0,54270.0
JADOT YANNICK,2022-01-16,99914.0,99914.0
JADOT YANNICK,2022-01-30,255225.0,155311.0
JADOT YANNICK,2022-02-13,352694.0,97469.0
JADOT YANNICK,2022-02-27,518612.0,165918.0
JADOT YANNICK,2022-03-07,583744.0,65132.0
LASSALLE JEAN,2022-01-16,1110.0,1110.0
LASSALLE JEAN,2022-01-30,6970.0,5860.0
LASSALLE JEAN,2022-02-13,11093.0,4123.0
LASSALLE JEAN,2022-02-27,43902.0,32809.0
LASSALLE JEAN,2022-03-07,64991.0,21089.0
LE PEN MARINE,2022-01-16,176839.0,176839.0
LE PEN MARINE,2022-01-30,497519.0,320680.0
LE PEN MARINE,2022-02-13,879269.0,381750.0
LE PEN MARINE,2022-02-27,1139905.0,260636.0
LE PEN MARINE,2022-03-07,1362467.0,222562.0
MACRON EMMANUEL,2022-01-16,365653.0,365653.0
MACRON EMMANUEL,2022-01-30,664188.0,298535.0
MACRON EMMANUEL,2022-02-13,1025958.0,361770.0
MACRON EMMANUEL,2022-02-27,1343380.0,317422.0
MACRON EMMANUEL,2022-03-07,1749822.0,406442.0
MELENCHON JEAN LUC,2022-01-16,224121.0,224121.0
MELENCHON JEAN LUC,2022-01-30,379066.0,154945.0
MELENCHON JEAN LUC,2022-02-13,528834.0,149768.0
MELENCHON JEAN LUC,2022-02-27,743269.0,214435.0
MELENCHON JEAN LUC,2022-03-07,892480.0,149211.0
PECRESSE VALERIE,2022-01-16,335005.0,335005.0
PECRESSE VALERIE,2022-01-30,634762.0,299757.0
PECRESSE VALERIE,2022-02-13,1044652.0,409890.0
PECRESSE VALERIE,2022-02-27,1420722.0,376070.0
PECRESSE VALERIE,2022-03-07,1480824.0,60102.0
POUTOU PHILIPPE,2022-01-16,2271.0,2271.0
POUTOU PHILIPPE,2022-01-30,15064.0,12793.0
POUTOU PHILIPPE,2022-02-13,23941.0,8877.0
POUTOU PHILIPPE,2022-02-27,37125.0,13184.0
POUTOU PHILIPPE,2022-03-07,55946.0,18821.0
ROUSSEL FABIEN,2022-01-16,45017.0,45017.0
ROUSSEL FABIEN,2022-01-30,134538.0,89521.0
ROUSSEL FABIEN,2022-02-13,247519.0,112981.0
ROUSSEL FABIEN,2022-02-27,319326.0,71807.0
ROUSSEL FABIEN,2022-03-07,337138.0,17812.0
ZEMMOUR ERIC,2022-01-16,228032.0,228032.0
ZEMMOUR ERIC,2022-01-30,555133.0,327101.0
ZEMMOUR ERIC,2022-02-13,848752.0,293619.0
ZEMMOUR ERIC,2022-02-27,1019012.0,170260.0
ZEMMOUR ERIC,2022-03-07,1083552.0,64540.0
