Nombres de documents,candidat,start_date,end_date,year
3,arthaud,2022-01-03,2022-01-09,2022
14,arthaud,2022-01-10,2022-01-16,2022
22,arthaud,2022-01-17,2022-01-23,2022
28,arthaud,2022-01-24,2022-01-30,2022
29,arthaud,2022-01-31,2022-02-06,2022
53,arthaud,2022-02-07,2022-02-13,2022
104,arthaud,2022-02-14,2022-02-20,2022
115,arthaud,2022-02-21,2022-02-27,2022
64,arthaud,2022-02-28,2022-03-06,2022
90,arthaud,2022-03-07,2022-03-13,2022
19,arthaud,2022-03-14,2022-03-20,2022
36,dupontaignan,2022-01-03,2022-01-09,2022
23,dupontaignan,2022-01-10,2022-01-16,2022
19,dupontaignan,2022-01-17,2022-01-23,2022
23,dupontaignan,2022-01-24,2022-01-30,2022
34,dupontaignan,2022-01-31,2022-02-06,2022
24,dupontaignan,2022-02-07,2022-02-13,2022
33,dupontaignan,2022-02-14,2022-02-20,2022
123,dupontaignan,2022-02-21,2022-02-27,2022
205,dupontaignan,2022-02-28,2022-03-06,2022
107,dupontaignan,2022-03-07,2022-03-13,2022
48,dupontaignan,2022-03-14,2022-03-20,2022
299,hidalgo,2022-01-03,2022-01-09,2022
546,hidalgo,2022-01-10,2022-01-16,2022
346,hidalgo,2022-01-17,2022-01-23,2022
385,hidalgo,2022-01-24,2022-01-30,2022
524,hidalgo,2022-01-31,2022-02-06,2022
357,hidalgo,2022-02-07,2022-02-13,2022
408,hidalgo,2022-02-14,2022-02-20,2022
343,hidalgo,2022-02-21,2022-02-27,2022
283,hidalgo,2022-02-28,2022-03-06,2022
383,hidalgo,2022-03-07,2022-03-13,2022
71,hidalgo,2022-03-14,2022-03-20,2022
205,jadot,2022-01-03,2022-01-09,2022
257,jadot,2022-01-10,2022-01-16,2022
408,jadot,2022-01-17,2022-01-23,2022
507,jadot,2022-01-24,2022-01-30,2022
441,jadot,2022-01-31,2022-02-06,2022
316,jadot,2022-02-07,2022-02-13,2022
300,jadot,2022-02-14,2022-02-20,2022
378,jadot,2022-02-21,2022-02-27,2022
433,jadot,2022-02-28,2022-03-06,2022
376,jadot,2022-03-07,2022-03-13,2022
47,jadot,2022-03-14,2022-03-20,2022
5,lassale,2022-01-03,2022-01-09,2022
17,lassale,2022-01-10,2022-01-16,2022
7,lassale,2022-01-17,2022-01-23,2022
16,lassale,2022-01-24,2022-01-30,2022
33,lassale,2022-01-31,2022-02-06,2022
51,lassale,2022-02-07,2022-02-13,2022
112,lassale,2022-02-14,2022-02-20,2022
