candidate,day,tweet_count,retweet_count,like_count,reply_count
arthaud,2022-01-03,1,181,565,16
arthaud,2022-01-11,1,290,1058,42
arthaud,2022-01-22,1,167,636,42
arthaud,2022-01-25,2,2500,6893,270
arthaud,2022-01-28,1,1014,4395,84
arthaud,2022-02-08,1,1805,8331,196
arthaud,2022-02-09,2,679,2853,67
arthaud,2022-02-15,1,198,576,56
arthaud,2022-02-19,1,1033,3358,209
arthaud,2022-02-24,5,3697,9828,1896
arthaud,2022-02-26,1,1123,3803,338
arthaud,2022-02-28,1,336,1017,119
arthaud,2022-03-02,1,400,788,25
arthaud,2022-03-07,1,246,1709,52
arthaud,2022-03-08,1,239,902,57
arthaud,2022-03-10,1,789,3237,108
arthaud,2022-03-11,1,765,2741,70
arthaud,2022-03-12,1,173,690,22
arthaud,2022-03-13,1,151,402,14
dupont_aignan,2022-01-03,6,5422,20172,1022
dupont_aignan,2022-01-04,7,7698,25184,1134
dupont_aignan,2022-01-05,17,17602,56397,2415
dupont_aignan,2022-01-06,6,3042,8772,606
dupont_aignan,2022-01-07,5,3783,12231,778
dupont_aignan,2022-01-08,2,874,2464,143
dupont_aignan,2022-01-09,2,1000,3566,239
dupont_aignan,2022-01-10,6,2974,6301,684
dupont_aignan,2022-01-11,4,2627,8727,637
dupont_aignan,2022-01-12,2,638,2426,124
dupont_aignan,2022-01-13,2,1907,9000,545
dupont_aignan,2022-01-14,12,7211,19991,994
dupont_aignan,2022-01-15,4,3050,9334,634
dupont_aignan,2022-01-16,12,6799,25742,2236
dupont_aignan,2022-01-17,2,572,1818,92
dupont_aignan,2022-01-18,4,2428,7069,419
dupont_aignan,2022-01-20,2,1675,7021,253
dupont_aignan,2022-01-21,4,2127,7549,801
dupont_aignan,2022-01-22,1,406,1547,78
dupont_aignan,2022-01-23,2,719,1836,97
dupont_aignan,2022-01-24,2,859,3464,167
dupont_aignan,2022-01-25,1,621,1717,64
dupont_aignan,2022-01-26,3,1270,4028,241
dupont_aignan,2022-01-27,4,2453,6471,467
dupont_aignan,2022-01-28,2,1578,5467,251
dupont_aignan,2022-01-29,2,2441,6465,430
dupont_aignan,2022-01-30,1,966,2515,43
dupont_aignan,2022-01-31,3,1220,4693,1273
dupont_aignan,2022-02-01,1,560,2686,170
dupont_aignan,2022-02-02,2,1816,4595,140
dupont_aignan,2022-02-03,2,1643,4220,318
dupont_aignan,2022-02-04,1,1315,4509,306
dupont_aignan,2022-02-05,2,681,1428,74
dupont_aignan,2022-02-06,1,834,1990,213
dupont_aignan,2022-02-07,1,911,1831,166
dupont_aignan,2022-02-09,1,371,965,29
dupont_aignan,2022-02-10,5,2506,8857,325
dupont_aignan,2022-02-11,5,2203,6503,413
dupont_aignan,2022-02-12,5,4018,12191,719
dupont_aignan,2022-02-13,3,1570,3751,148
dupont_aignan,2022-02-14,4,2537,9547,1539
dupont_aignan,2022-02-16,3,1547,4155,153
dupont_aignan,2022-02-17,3,1069,4130,197
dupont_aignan,2022-02-18,2,1733,3802,137
dupont_aignan,2022-02-19,5,2904,8738,400
dupont_aignan,2022-02-20,4,2776,6714,613
