candidate,day,tweet_count,retweet_count,like_count,reply_count
arthaud,2022-01-03,2,216,652,22
arthaud,2022-01-04,2,109,300,8
arthaud,2022-01-05,1,76,214,10
arthaud,2022-01-06,1,139,352,16
arthaud,2022-01-07,2,70,185,9
arthaud,2022-01-08,1,74,204,9
arthaud,2022-01-09,1,92,298,12
arthaud,2022-01-10,3,171,431,25
arthaud,2022-01-11,4,373,1191,99
arthaud,2022-01-12,1,53,263,6
arthaud,2022-01-13,3,189,582,36
arthaud,2022-01-14,1,23,44,1
arthaud,2022-01-15,1,48,70,1
arthaud,2022-01-16,9,261,662,58
arthaud,2022-01-17,2,175,477,22
arthaud,2022-01-18,2,101,309,14
arthaud,2022-01-19,1,139,366,17
arthaud,2022-01-20,1,33,83,6
arthaud,2022-01-21,1,93,266,26
arthaud,2022-01-22,1,167,634,42
arthaud,2022-01-23,1,45,86,4
arthaud,2022-01-24,4,107,272,6
arthaud,2022-01-25,4,2539,7000,286
arthaud,2022-01-26,4,210,514,26
arthaud,2022-01-27,3,138,540,30
arthaud,2022-01-28,1,1006,4383,84
arthaud,2022-01-29,2,42,115,28
arthaud,2022-01-30,2,211,676,28
arthaud,2022-01-31,2,70,70,45
arthaud,2022-02-01,5,325,878,37
arthaud,2022-02-02,3,160,410,14
arthaud,2022-02-03,2,127,202,8
arthaud,2022-02-04,3,278,824,43
arthaud,2022-02-05,3,173,641,31
arthaud,2022-02-06,2,75,188,19
arthaud,2022-02-07,1,57,225,13
arthaud,2022-02-08,3,1892,8517,196
arthaud,2022-02-09,3,703,3569,76
arthaud,2022-02-10,5,225,647,35
arthaud,2022-02-11,3,114,269,16
arthaud,2022-02-12,5,129,363,71
arthaud,2022-02-13,1,28,87,1
arthaud,2022-02-14,13,320,1019,215
arthaud,2022-02-15,18,778,3111,327
arthaud,2022-02-16,5,139,464,25
arthaud,2022-02-17,7,251,739,63
arthaud,2022-02-18,5,170,459,51
arthaud,2022-02-19,4,1145,3676,236
arthaud,2022-02-20,3,134,437,18
arthaud,2022-02-21,18,731,2441,340
arthaud,2022-02-22,6,182,526,43
arthaud,2022-02-23,10,399,1284,113
arthaud,2022-02-24,6,3775,9973,1887
arthaud,2022-02-25,7,298,1449,96
arthaud,2022-02-26,6,1380,4685,388
arthaud,2022-02-27,3,197,501,76
arthaud,2022-02-28,3,440,1220,122
arthaud,2022-03-01,5,218,399,35
arthaud,2022-03-02,2,416,846,29
arthaud,2022-03-03,12,653,1484,435
arthaud,2022-03-04,2,143,349,34
arthaud,2022-03-05,1,108,400,40
arthaud,2022-03-06,2,120,358,33
arthaud,2022-03-07,4,535,2514,119
arthaud,2022-03-08,8,466,1458,139
arthaud,2022-03-09,3,136,371,27
arthaud,2022-03-10,9,1085,4258,153
arthaud,2022-03-11,8,1117,4776,131
arthaud,2022-03-12,6,323,1062,36
arthaud,2022-03-13,4,269,709,29
dupont_aignan,2022-01-03,13,6291,22800,1240
dupont_aignan,2022-01-04,16,8580,27842,1379
dupont_aignan,2022-01-05,40,18960,61250,2807
dupont_aignan,2022-01-06,24,4086,11822,1220
dupont_aignan,2022-01-07,13,4180,13881,925
dupont_aignan,2022-01-08,9,1551,4735,283
dupont_aignan,2022-01-09,26,1970,6077,474
dupont_aignan,2022-01-10,10,3034,6385,695
dupont_aignan,2022-01-11,12,3469,11370,855
dupont_aignan,2022-01-12,7,1188,4627,305
dupont_aignan,2022-01-13,14,2561,10974,946
dupont_aignan,2022-01-14,20,7625,21364,1126
dupont_aignan,2022-01-15,24,4595,13510,1182
dupont_aignan,2022-01-16,28,7684,29091,2597
dupont_aignan,2022-01-17,13,1267,3933,356
dupont_aignan,2022-01-18,16,3303,9848,672
dupont_aignan,2022-01-19,9,756,2537,193
dupont_aignan,2022-01-20,17,2877,10614,575
dupont_aignan,2022-01-21,11,2544,8817,893
dupont_aignan,2022-01-22,4,546,2123,126
dupont_aignan,2022-01-23,14,1282,3698,418
dupont_aignan,2022-01-24,23,1968,6530,728
dupont_aignan,2022-01-25,8,1088,3199,201
dupont_aignan,2022-01-26,9,1583,4943,335
dupont_aignan,2022-01-27,28,3771,12356,991
dupont_aignan,2022-01-28,13,2124,7190,382
dupont_aignan,2022-01-29,25,3582,9944,930
dupont_aignan,2022-01-30,10,1543,4227,166
dupont_aignan,2022-01-31,20,2034,7505,1934
dupont_aignan,2022-02-01,12,1085,4074,311
dupont_aignan,2022-02-02,11,2218,5795,270
dupont_aignan,2022-02-03,17,2691,7404,572
dupont_aignan,2022-02-04,16,2630,9066,621
dupont_aignan,2022-02-05,13,1442,3825,242
dupont_aignan,2022-02-06,43,2424,7430,680
dupont_aignan,2022-02-07,17,1467,3518,320
dupont_aignan,2022-02-08,28,1281,3909,220
dupont_aignan,2022-02-09,19,1332,4279,296
dupont_aignan,2022-02-10,18,2991,10579,795
dupont_aignan,2022-02-11,16,3167,9083,587
dupont_aignan,2022-02-12,17,4843,14641,987
dupont_aignan,2022-02-13,23,2710,7182,428
dupont_aignan,2022-02-14,15,3012,11071,1597
dupont_aignan,2022-02-15,33,1539,4910,539
dupont_aignan,2022-02-16,14,2111,5700,264
dupont_aignan,2022-02-17,21,1761,6310,364
dupont_aignan,2022-02-18,12,2418,5553,279
dupont_aignan,2022-02-19,15,3733,10964,654
dupont_aignan,2022-02-20,19,3757,10101,809
dupont_aignan,2022-02-21,10,2247,5592,421
dupont_aignan,2022-02-22,16,2182,6267,944
dupont_aignan,2022-02-23,24,3630,10332,1445
dupont_aignan,2022-02-24,10,756,2011,438
dupont_aignan,2022-02-25,13,624,1843,282
dupont_aignan,2022-02-26,19,1051,2666,290
dupont_aignan,2022-02-27,6,611,1726,127
dupont_aignan,2022-02-28,14,2785,6634,751
dupont_aignan,2022-03-01,22,2816,12318,1219
dupont_aignan,2022-03-02,20,1907,7050,575
dupont_aignan,2022-03-03,29,7829,21257,1558
dupont_aignan,2022-03-04,8,1159,2637,268
dupont_aignan,2022-03-05,12,4136,6766,874
dupont_aignan,2022-03-06,20,1696,5285,474
dupont_aignan,2022-03-07,11,1235,3459,387
dupont_aignan,2022-03-08,11,1248,3564,428
dupont_aignan,2022-03-09,27,6314,15445,666
dupont_aignan,2022-03-10,16,2072,7126,537
dupont_aignan,2022-03-11,11,1954,4334,222
dupont_aignan,2022-03-12,21,4061,10760,661
