,id,local_time,timestamp_utc,text,url,quoted_id,quoted_user,quoted_user_id,quoted_timestamp_utc,retweeted_id,retweeted_user,retweeted_user_id,retweeted_timestamp_utc,links_to_resolve,collection_time,match_query,coordinates,to_tweetid,to_username,to_userid,lang,possibly_sensitive,retweet_count,like_count,reply_count,user_id,user_screen_name,user_name,user_friends,user_followers,user_location,user_verified,user_description,user_created_at,user_tweets,user_likes,user_lists,user_image,user_url,user_timestamp_utc,source_url,source_name,candidate
0,1503136433158119427,2022-03-13T22:30:27,1647210627,"Je ne pouvais pas mieux résumer ma pensée... #Presidentielle2022 « Europe1: ""J'éprouve un profond mépris à l'égard des instituts de sondage, je connais d'ailleurs leurs propriétaires qui ne valent pas mieux qu'eux."" @jeanlassalle dans l'interview politique de @JP_Elkabbach sur #Europe1 https://twitter.com/Europe1/status/1502542978962931723/video/1 — https://twitter.com/Europe1/status/1502542978962931723 »",https://twitter.com/jeanlassalle/statuses/1503136433158119427,1502542978962931723,Europe1,34570323,1647069136,,,,,True,2022-03-30T11:26:33.728032,True,,,,,fr,False,140,771,25,102722347,jeanlassalle,Jean Lassalle,453,89068,Lourdios-Ichère,True,"Candidat à la Présidentielle. Député de la 4ème circonscription des Pyrénées-Atlantiques. Président de l'APMM, du CNRH, de la Marche citoyenne et de Résistons !",2010-01-07T16:24:46,5393,948,714,https://pbs.twimg.com/profile_images/868057012613128192/taT_x7GV_normal.jpg,https://resistons-france.fr/,1262881486,http://twitter.com/download/android,Twitter for Android,lassale
0,1503131259459051522,2022-03-13T22:09:53,1647209393,"🔴 Grande émotion de participer à la projection du film ""Jean Lassalle : L'Homme en résistance"" de Jean-Christophe Laforge, en présence des maires de Charente m’ayant parrainé et de mes concitoyens. Mon projet #presidentielle2022 http://www.jl2022.fr #Montbron #jltourbus2022 https://twitter.com/jeanlassalle/status/1503131259459051522/photo/1",https://twitter.com/jeanlassalle/statuses/1503131259459051522,,,,,,,,,True,2022-03-30T11:26:33.728999,True,,,,,fr,False,33,159,6,102722347,jeanlassalle,Jean Lassalle,453,89068,Lourdios-Ichère,True,"Candidat à la Présidentielle. Député de la 4ème circonscription des Pyrénées-Atlantiques. Président de l'APMM, du CNRH, de la Marche citoyenne et de Résistons !",2010-01-07T16:24:46,5393,948,714,https://pbs.twimg.com/profile_images/868057012613128192/taT_x7GV_normal.jpg,https://resistons-france.fr/,1262881486,http://twitter.com/download/iphone,Twitter for iPhone,lassale
0,1503002041777594368,2022-03-13T13:36:25,1647178585,"En route pour la Charente notre bus est tombé en panne à Saint-Germain-les-Belles. La France authentique c’est aussi vivre les problématiques du quotidien des Français. Rien ne nous arrêtera ! Rdv tout à l’heure en #Charente 
#jeanlassalle2022
#tourbusjl2022
#lafranceauthentique https://twitter.com/jeanlassalle/status/1503002041777594368/video/1",https://twitter.com/jeanlassalle/statuses/1503002041777594368,,,,,,,,,False,2022-03-30T11:26:33.730038,True,,,,,fr,False,39,294,26,102722347,jeanlassalle,Jean Lassalle,453,89068,Lourdios-Ichère,True,"Candidat à la Présidentielle. Député de la 4ème circonscription des Pyrénées-Atlantiques. Président de l'APMM, du CNRH, de la Marche citoyenne et de Résistons !",2010-01-07T16:24:46,5393,948,714,https://pbs.twimg.com/profile_images/868057012613128192/taT_x7GV_normal.jpg,https://resistons-france.fr/,1262881486,http://twitter.com/download/iphone,Twitter for iPhone,lassale
0,1502953309891706880,2022-03-13T10:22:47,1647166967,"Départ d'Arnac Pompadour et direction la Charente, à #Angoulême. Plusieurs visites au programme et réunion-debat ce soir à 20h à #Montbron Venez nombreux ! @CiteBd
#jeanlassalle2022 #Presidentielle2022 #tourbusjl2022 https://twitter.com/jeanlassalle/status/1502953309891706880/photo/1",https://twitter.com/jeanlassalle/statuses/1502953309891706880,,,,,,,,,False,2022-03-30T11:26:33.730038,True,,,,,fr,False,17,107,7,102722347,jeanlassalle,Jean Lassalle,453,89068,Lourdios-Ichère,True,"Candidat à la Présidentielle. Député de la 4ème circonscription des Pyrénées-Atlantiques. Président de l'APMM, du CNRH, de la Marche citoyenne et de Résistons !",2010-01-07T16:24:46,5393,948,714,https://pbs.twimg.com/profile_images/868057012613128192/taT_x7GV_normal.jpg,https://resistons-france.fr/,1262881486,http://twitter.com/download/iphone,Twitter for iPhone,lassale
0,1502948049181630466,2022-03-13T10:01:53,1647165713,"🔴 Hier à Brive-la-Gaillarde je visitais une fabrique de liqueurs familiales, perpétuant les traditions et savoir-faire de la fabrication de liqueur de noix. Elle est un symbole du «Produire en France» http://jl2022.fr #jeanlassalle2022
#tourbusjl2022
#lafranceauthentique https://twitter.com/jeanlassalle/status/1502948049181630466/photo/1",https://twitter.com/jeanlassalle/statuses/1502948049181630466,,,,,,,,,True,2022-03-30T11:26:33.731031,True,,,,,fr,False,36,260,15,102722347,jeanlassalle,Jean Lassalle,453,89068,Lourdios-Ichère,True,"Candidat à la Présidentielle. Député de la 4ème circonscription des Pyrénées-Atlantiques. Président de l'APMM, du CNRH, de la Marche citoyenne et de Résistons !",2010-01-07T16:24:46,5393,948,714,https://pbs.twimg.com/profile_images/868057012613128192/taT_x7GV_normal.jpg,https://resistons-france.fr/,1262881486,http://twitter.com/download/iphone,Twitter for iPhone,lassale
0,1502680306033336326,2022-03-12T16:17:58,1647101878,"Chaque jour, l'Alliance @Anticorrida publie la position d'un candidat à #presidentielles2022 sur la #corrida. Aujourd'hui @jeanlassalle    
@jdl288 @Eliottthefox @HenryJeanServat @JustineADP @LRefuges  @PucesLapin @20320Vero  @vallouard  @BeziersColbac  @OABA_Off https://twitter.com/Anticorrida/status/1502680306033336326/photo/1",https://twitter.com/Anticorrida/statuses/1502680306033336326,,,,,,,,,False,2022-03-30T11:26:33.732031,True,,,,,fr,False,21,17,6,504604721,Anticorrida,Alliance Anticorrida,273,4986,"Nîmes, France",False,"Pionnière de la lutte contre la #corrida, l'#AllianceAnticorrida a fait, entre autres, interdire les enfants toreros. Elle affaiblit la tauromachie au quotidien",2012-02-26T14:56:26,4993,12018,52,https://pbs.twimg.com/profile_images/1359149986341085188/B3DI-HGp_normal.jpg,http://allianceanticorrida.fr,1330268186,https://mobile.twitter.com,Twitter Web App,lassale
0,1502678107123331075,2022-03-12T16:09:13,1647101353,Arrivée à #brivelagaillarde en Corrèze visite d’une distillerie avant de tenir une réunion publique ce soir à Arnac-Pompadour RDV 20h30 Venez nombreux ! #jeanlassalle2022 #Presidentielle2022 #tourbusjl2022 #lafranceauthentique https://twitter.com/jeanlassalle/status/1502678107123331075/photo/1,https://twitter.com/jeanlassalle/statuses/1502678107123331075,,,,,,,,,False,2022-03-30T11:26:33.733031,True,,,,,fr,False,28,199,18,102722347,jeanlassalle,Jean Lassalle,453,89068,Lourdios-Ichère,True,"Candidat à la Présidentielle. Député de la 4ème circonscription des Pyrénées-Atlantiques. Président de l'APMM, du CNRH, de la Marche citoyenne et de Résistons !",2010-01-07T16:24:46,5393,948,714,https://pbs.twimg.com/profile_images/868057012613128192/taT_x7GV_normal.jpg,https://resistons-france.fr/,1262881486,http://twitter.com/download/iphone,Twitter for iPhone,lassale
0,1502542978962931723,2022-03-12T07:12:16,1647069136,"""J'éprouve un profond mépris à l'égard des instituts de sondage, je connais d'ailleurs leurs propriétaires qui ne valent pas mieux qu'eux."" @jeanlassalle dans l'interview politique de @JP_Elkabbach sur #Europe1 https://twitter.com/Europe1/status/1502542978962931723/video/1",https://twitter.com/Europe1/statuses/1502542978962931723,,,,,,,,,False,2022-03-30T11:26:33.733031,True,,,,,fr,False,120,375,15,34570323,Europe1,Europe 1 🎧🌍📻,3641,1592142,"Paris, France",True,"Le pouvoir de l'écoute #Europe1
Ecoutez le monde changer sur Europe 1, la radio qui vous informe et vous divertit au quotidien. En direct ou en #podcast.",2009-04-23T08:53:54,410013,10439,6124,https://pbs.twimg.com/profile_images/1402173464891604993/58LeQK57_normal.jpg,http://www.europe1.fr,1240476834,http://www.yuzzitpro.com,Yuzzit Pro,lassale
0,1502533849963810817,2022-03-12T06:36:00,1647066960,Et pourquoi pas @jeanlassalle ni @dupontaignan pourtant à des scores equivalents ou au dessus de @Anne_Hidalgo dans les sondages ? https://twitter.com/Mr_Frexit/status/1502533849963810817/photo/1,https://twitter.com/Mr_Frexit/statuses/1502533849963810817,,,,,,,,,False,2022-03-30T11:26:33.733031,True,,,,,fr,False,40,152,14,950370166080135168,Mr_Frexit,Monsieur_Frexit 🇫🇷,14180,16781,"Maastricht, The Netherlands",False,"En a marre que le camp de l'indépendance nationale perde depuis 50 ans. 

Doctrine : Etat stratège + Arrêtez d'emmerder les Français. Gaullisme 2.0",2018-01-08T14:14:39,25435,62941,43,https://pbs.twimg.com/profile_images/1189326785076330496/b2tFidpx_normal.jpg,,1515420879,https://mobile.twitter.com,Twitter Web App,lassale
0,1502280855779258372,2022-03-11T13:50:41,1647006641,"C’est pas pour foutre la merde, mais il y a @PhilippePoutou, @dupontaignan et @jeanlassalle qui sont plus haut que @Anne_Hidalgo dans les sondages. Pourquoi elle est invitée et pas eux ? « 2022Elections: 🔴 ÉVÉNEMENT | « La France face à la guerre », émission spéciale présentée par @ACCoudray & @GillesBouleau 

avec @Anne_Hidalgo @yjadot @MLP_officiel @EmmanuelMacron @JLMelenchon @vpecresse @Fabien_Roussel @ZemmourEric 

📺 Lundi 14/03 dès 20h20 sur @TF1 #FaceÀLaGuerreTF1 https://twitter.com/2022Elections/status/1502252315604135939/photo/1 — https://twitter.com/2022Elections/status/1502252315604135939 »",https://twitter.com/ccastanette/statuses/1502280855779258372,1502252315604135939,2022Elections,1373742902984212489,1646999837,,,,,True,2022-03-30T11:26:33.734030,True,,,,,fr,False,68,164,14,1037383255354421248,ccastanette,Christophe Castagnette               ᵖᵃʳᵒᵈᶦᵉ,649,34904,,False,"Ancien Ministre de l'inferieur. Accepte tout emploi pourvu d'une buvette.
COMPTE PARODIQUE. Mes tweets sont faux et n'engagent pas la personne parodiée",2018-09-05T16:53:36,25543,37787,87,https://pbs.twimg.com/profile_images/1052979792608399360/WqbGBx39_normal.jpg,http://www.inferieur.gout.fr,1536166416,http://twitter.com/download/android,Twitter for Android,lassale
