,id,local_time,timestamp_utc,text,url,quoted_id,quoted_user,quoted_user_id,quoted_timestamp_utc,retweeted_id,retweeted_user,retweeted_user_id,retweeted_timestamp_utc,links_to_resolve,collection_time,match_query,coordinates,to_tweetid,to_username,to_userid,lang,possibly_sensitive,retweet_count,like_count,reply_count,user_id,user_screen_name,user_name,user_friends,user_followers,user_location,user_verified,user_description,user_created_at,user_tweets,user_likes,user_lists,user_image,user_url,user_timestamp_utc,source_url,source_name,candidate
0,1503099189508644872,2022-03-13T20:02:27,1647201747,"""On a qu’à faire comme en #Corse""
""A un moment il faut descendre dans la rue, il faut que la colère s'exprime‼️""
🗣@PhilippePoutou…😏

Un gros retour des #GiletsJaunes…🤔

#AideCarburant #15centimes
#MacronNousPrendPourDesCons
#MacronDegage #MacronDehors
https://twitter.com/BFMTV/status/1502917152650801157/video/1",https://twitter.com/LorentzMathias/statuses/1503099189508644872,,,,,,,,,False,2022-03-30T11:25:51.503108,True,,,,,fr,False,267,582,30,1083279881209896966,LorentzMathias,Lorentz mathias,275,15296,,False,"#GiletsJaunes, #CitoyenEnColère et #Insoumis AntiPrivatisation #Adp #Engie #Fdj et les autres... Je lutte, donc Je suis...(mais pacifiquement) 😉",2019-01-10T08:30:24,33331,139865,78,https://pbs.twimg.com/profile_images/1095320618411716611/v0UuBB1__normal.jpg,,1547109024,http://twitter.com/download/iphone,Twitter for iPhone,poutou
0,1503097427414458372,2022-03-13T19:55:27,1647201327,"Pendant 30 minutes chacun, nous avons interrogé @yjadot, @vpecresse @PhilippePoutou @Anne_Hidalgo @Fabien_Roussel sur leur programme pour répondre à l’urgence écologique et sortir la France de l’illégalité. Le replay est à voir ici https://m.youtube.com/watch?v=9yDJkg4jNMQ « blast_france: Le #debatdusiecle a commencé avec @yjadot, interrogé par @JeanMassiet et notre journaliste @PalomaMoritz. 
A suivre sur la chaine twitch de Jean Massiet, ou sur celle de Blast  https://www.twitch.tv/blastinfo?lang=fr https://twitter.com/blast_france/status/1503027968867803137/video/1 — https://twitter.com/blast_france/status/1503027968867803137 »",https://twitter.com/PalomaMoritz/statuses/1503097427414458372,1503027968867803137,blast_france,1332295126174068736,1647184767,,,,,True,2022-03-30T11:25:51.505108,True,,,,,fr,False,41,144,6,813039421,PalomaMoritz,Paloma Moritz,1804,15166,"Paris, France",False,Journaliste écologie et société @blast_france. Ex-réalisatrice de docs pour @Spiceemedia. Co-fondatrice @Mieux_Voter.,2012-09-09T12:30:19,6122,14426,139,https://pbs.twimg.com/profile_images/1021775729867063296/8478RU0K_normal.jpg,https://www.blast-info.fr/auteurs/paloma-moritz-ufW5FwkoRz-lYjcAG7OUQQ,1347193819,http://twitter.com/download/iphone,Twitter for iPhone,poutou
0,1503092815148077057,2022-03-13T19:37:07,1647200227,"Je pense qu’il faut effectivement maintenant descendre dans la rue, tous ensemble. Urgence @PhilippePoutou @JLMelenchon @collCartonJaune #Mauricette #maximebeltra @verity_france « BFMTV: Aide pour le carburant: une mesure ""dérisoire"", critique le candidat du NPA Philippe Poutou. ""A un moment, il faut descendre dans la rue, il faut que la colère s'exprime."" https://twitter.com/BFMTV/status/1502917152650801157/video/1 — https://twitter.com/BFMTV/status/1502917152650801157 »",https://twitter.com/Marc_Doyer/statuses/1503092815148077057,1502917152650801157,BFMTV,133663801,1647158346,,,,,True,2022-03-30T11:25:51.506108,True,,,,,fr,False,114,370,15,4374484241,Marc_Doyer,Marc Doyer,509,38585,"Breuil-le-Vert, Picardie",False,Ma femme victime du vaccin pfizer maladie prion vache folle #Mauricette                         Porte parole Verity France,2015-12-04T17:51:11,20274,18887,77,https://pbs.twimg.com/profile_images/919648536744128513/tnXvEsP8_normal.jpg,http://www.cabaretdelabreche.fr,1449251471,http://twitter.com/download/iphone,Twitter for iPhone,poutou
0,1503073767941152768,2022-03-13T18:21:26,1647195686,"🔴 Le #DébatDuSiècle est terminé. 

Un immense merci à @yjadot, @vpecresse, @Fabien_Roussel, @PhilippePoutou, @Anne_Hidalgo pour votre présence.

⏩ Continuons à parler du climat dans le débat présidentiel, rejoignez notre appel : https://laffairedusiecle.net/ensemble-exigeons-de-parler-climat-dans-le-debat-presidentiel/",https://twitter.com/laffairedusiecl/statuses/1503073767941152768,,,,,,,,,True,2022-03-30T11:25:51.506108,True,,1503069113979179017,laffairedusiecl,1074662762029215744,fr,False,21,74,4,1074662762029215744,laffairedusiecl,L'affaire du siècle,182,19830,Du climat dans les débats !,False,📣 La justice a tranché : l’Etat n’a plus le choix et doit agir concrètement et rapidement pour le climat ! 🌍 #PasDeClimatPasDeMandat #LAffaireDuSiecle,2018-12-17T13:49:03,960,1495,179,https://pbs.twimg.com/profile_images/1074663171430977536/UUFXEMUY_normal.jpg,https://laffairedusiecle.net/medias-encore-10-jours-pour-parler-climat-dans-la-presidentielle/,1545054543,https://mobile.twitter.com,Twitter Web App,poutou
0,1503060302505684999,2022-03-13T17:27:56,1647192476,"""Total et toutes ces grosses multinationales, ça fait 50 ans qu'ils font des faux rapports, et que leur seul problème est la distribution de dividendes aux actionnaires. Il faut une société qui discuterait de la sociabilisation des moyens de production"" @PhilippePoutou https://twitter.com/blast_france/status/1503060302505684999/video/1",https://twitter.com/blast_france/statuses/1503060302505684999,,,,,,,,,False,2022-03-30T11:25:51.507109,True,,1503059493696983042,blast_france,1332295126174068736,fr,False,26,93,4,1332295126174068736,blast_france,"BLAST, Le souffle de l'info",77,72567,France,False,"Blast, nouvelle Web TV indépendante, nouveau site d’info. Éditos, enquêtes, culture, tribunes et reportages. Lancé par Denis Robert.",2020-11-27T12:09:07,2866,6152,381,https://pbs.twimg.com/profile_images/1441069207593095175/Yzn8Q2Sn_normal.jpg,https://www.blast-info.fr/,1606478947,https://mobile.twitter.com,Twitter Web App,poutou
0,1503060014583455752,2022-03-13T17:26:47,1647192407,Il est important de soulever que @PhilippePoutou fait partie des rares candidats qui ont compris que la crise climatique est le résultat d'un problème systémique et économique. #DebatDuSiecle https://twitter.com/greenpeacefr/status/1503060014583455752/photo/1,https://twitter.com/greenpeacefr/statuses/1503060014583455752,,,,,,,,,False,2022-03-30T11:25:51.507109,True,,,,,fr,False,676,3900,112,4008771,greenpeacefr,Greenpeace France,771,443466,Paris,True,"Greenpeace agit partout dans le monde pour protéger l’environnement, le climat, la biodiversité et promouvoir la paix.
Agissez à nos côtés 👇",2007-04-10T09:53:55,32026,12167,3313,https://pbs.twimg.com/profile_images/514786708559122432/wFynDQ2x_normal.jpeg,https://www.greenpeace.fr/agir/,1176198835,https://mobile.twitter.com,Twitter Web App,poutou
0,1503059493696983042,2022-03-13T17:24:43,1647192283,"""La sensibilisation à la question écologique, c'est grâce au dévouement et à l'énergie militante des collectifs et des organisations citoyennes qui se mobilisent partout, avec des combats qui sont menés contre les dégâts environnementaux"" @PhilippePoutou #debatdusiecle https://twitter.com/blast_france/status/1503059493696983042/video/1",https://twitter.com/blast_france/statuses/1503059493696983042,,,,,,,,,False,2022-03-30T11:25:51.508109,True,,1503057307525160962,blast_france,1332295126174068736,fr,False,25,77,2,1332295126174068736,blast_france,"BLAST, Le souffle de l'info",77,72567,France,False,"Blast, nouvelle Web TV indépendante, nouveau site d’info. Éditos, enquêtes, culture, tribunes et reportages. Lancé par Denis Robert.",2020-11-27T12:09:07,2866,6152,381,https://pbs.twimg.com/profile_images/1441069207593095175/Yzn8Q2Sn_normal.jpg,https://www.blast-info.fr/,1606478947,https://mobile.twitter.com,Twitter Web App,poutou
0,1503055283651854341,2022-03-13T17:07:59,1647191279,"🔴 DIRECT | #DebatDuSiecle
Tout de suite, @PhilippePoutou est le troisième invitée de ⁦@JeanMassiet⁩ & ⁦@PalomaMoritz⁩ sur #Twitch

⁦@greenpeacefr⁩ ⁦@FondationNH⁩ ⁦@oxfamfrance⁩ ⁦@blast_france⁩

📸 @axel_duret https://twitter.com/humeco_media/status/1503055283651854341/photo/1",https://twitter.com/humeco_media/statuses/1503055283651854341,,,,,,,,,False,2022-03-30T11:25:51.508109,True,,,,,fr,False,14,39,1,1107271511466012673,humeco_media,HUMECO,432,441,France,False,"Association indépendante & média digital 🌱
Infos #RSE #Environnement #Humanitaire 
Engagés pour le #climat et une justice sociale 💪🏼",2019-03-17T13:24:35,833,830,10,https://pbs.twimg.com/profile_images/1311298634043056131/PfYjFt9H_normal.jpg,http://instagram.com/Humeco,1552829075,https://about.twitter.com/products/tweetdeck,TweetDeck,poutou
0,1503036474106814472,2022-03-13T15:53:15,1647186795,"À tout à l'heure ! 

#DébatDuSiècle « laffairedusiecl: Le #DébatDuSiècle, c'est parti 🔥

Les candidates et candidats à l'élection présidentielle vont se succéder pour présenter leurs propositions écologiques et climatiques !

⏩ Suivre le live : http://twitch.tv/jeanmassiet https://twitter.com/laffairedusiecl/status/1503025105768701959/video/1 — https://twitter.com/laffairedusiecl/status/1503025105768701959 » https://twitter.com/PhilippePoutou/status/1503036474106814472/photo/1",https://twitter.com/PhilippePoutou/statuses/1503036474106814472,1503025105768701959,laffairedusiecl,1074662762029215744,1647184084,,,,,True,2022-03-30T11:25:51.509108,True,,,,,fr,False,86,582,25,374392774,PhilippePoutou,Philippe Poutou,18,231024,"Bordeaux, France",True,"Ouvrier dans l'automobile, licencié par Ford, porte-parole du NPA et candidat à la présidentielle de 2022.",2011-09-16T07:27:04,4851,668,1083,https://pbs.twimg.com/profile_images/1414505068645208064/yVqvYNcU_normal.jpg,https://poutou2022.org,1316158024,https://mobile.twitter.com,Twitter Web App,poutou
0,1503008713598291969,2022-03-13T14:02:56,1647180176,"@PhilippePoutou @tonyrmj_tony @TF1 @JLMelenchon @Fabien_Roussel @yjadot @Anne_Hidalgo Soutien à toi Philippe, et à Nathalie Arthaud également.

Quand on voit les rivières de larmes qu'ils nous ont sorti pour parrainer les deux nazis Zemmour et LePen, et la vous écarter tranquillement, c'est une honte !!!

@FranceInsoumise @JLMelenchon il faut les soutenir.",https://twitter.com/Weatherboy_fr/statuses/1503008713598291969,,,,,,,,,False,2022-03-30T11:25:51.510109,True,,1502955913807867906,PhilippePoutou,374392774,fr,,15,44,2,103280363,Weatherboy_fr,Weatherboy 🐢🔻,3607,7072,Où le banquier borgne est roi,False,"Comédien au service de l'oligarchie à temps partiel #CADTM #FI2022 #φ
Si dieu existait, il faudrait s'en débarrasser.
Qqpart entre Vaneigem,Fanon&DavidMitchell",2010-01-09T14:18:08,76630,86889,44,https://pbs.twimg.com/profile_images/1495149736877297666/TZL5g5sR_normal.jpg,https://infokiosques.net/imprimersans2.php?id_article=10,1263046688,http://twitter.com/download/android,Twitter for Android,poutou
